label,feature
efeksamping,ancaman dari obat
cara,berikan saya informasi tentang cara minum obat sesuai petunjuk
efeksamping,efek samping obat
fitur,spesialnya obatin tuh apa sih
efeksamping,keburukan dari efek samping obat
kandungan,muatan apa saja yang ada di obat ini
efeksamping,penyakit yang mungkin timbul dari dampak negatif konsumsi obat
pergi,membantu sekali informasi darimu
cara,menggunakan obat
pergi,aku pergi ya
fitur,informasi yang dapat disampaikan oleh obatin
efeksamping,Konsekuensi setelah minum obat ini
efeksamping,Apa dampak buruk yang ditimbulkan setelah konsumsi obat
fitur,apa yang ditawarkan obatin
fitur,bantuan yang ditawarkan obatin
efeksamping,hal yang tidak diharapkan setelah minum obat
fitur,apa faedah dari penggunaan aplikasi obatin
efeksamping,Apa yang terjadi kepada diriku setelah minum obat ini
pergi,wah mantap
fitur,Kamu bisa bantu apa
kandungan,Apakah obat ini mengandung zat yang berbahaya
efeksamping,efek samping jangka panjang obat ini apa?
cara,tahapan penggunaan obat
kandungan,apa saja bahan yang terkandung di dalam obat
kandungan,terdiri dari apa obat
pergi,Terima kasih atas semua saranmu
kandungan,komposisi obat
efeksamping,Obat ini adakah efek sampingnya
fitur,fitur yang dimiliki obatin
cara,cara yang tepat untuk mengonsumsi suatu obat
pergi,Dadah
pergi,sampai berjumpa di lain waktu
cara,urutan konsumsi obat yang benar
kandungan,apa saja yang menjadi penyusun dari obat
pergi,Dari lubuk hati saya saya ucapkan terima kasih
kandungan,apakah obat mengandung
cara,tahapan pemakaian obat
efeksamping,Alergi yang ditimbulkan
pergi,pergi
kandungan,Apa kandungan  obat ini?
indikasi,sebutkan faidah dari swamedikasi menggunakan obat
kandungan,bahan yang terkandung dalam sebuah obat
fitur,Apa jenis dukungan yang Anda berikan?
cara,Bagusnya digunakan saat kondisi apa obat ini
cara,Cara penggunaan obat ini
kandungan,obat ini isinya apasih
cara,gimana cara penggunaan obat
fitur,Tunjukin fitur mu
fitur,tunjukkan kepadaku apa yang bisa kamu lakukan
fitur,seberapa berguna obatin
kandungan,bahan yang digunakan obat ini
fitur,tampilkan fitur yang dimiliki obatin
fitur,Coba berikan beberapa fiturmu
cara,tata cara penggunaan obat
efeksamping,sebutkan efek samping obat
kandungan,obat ini komposisinya apa aja
efeksamping,Apakah aku akan mengantuk setelah pakai obat ini
kandungan,aku mau bertanya tentang zat yang terkandung dalam obat
fitur,apa yang spesial dari aplikasi obatin
efeksamping,Masalah setelah meminum obat
efeksamping,terkait dampak negatif dari meminum obat ini
kandungan,Obat ini mengandung senyawa apa
cara,urutan minum obat
fitur,Info
kandungan,bahan obat
pergi,terima kasih telah membantuku
kandungan,senyawa apa saja yang menyusun obat ini
fitur,apa yang bisa obatin lakukan
pergi,oke
efeksamping,efek berbahaya dari obat ini
efeksamping,apa kekurangan obat
kandungan,zat yang terkandung dalam obat
kandungan,apa aja sih kandungan dari obat ini
fitur,Kemampuan kamu apa saja
kandungan,obat tuh zat komposisinya apa aja
pergi,sip
indikasi,efek baik setelah mengkonsumsi
efeksamping,seberapa dampak efek samping dari mengonsumsi suatu obat
indikasi,obat ini punya fungsi apa
cara,bagaimana obat ini digunakan
indikasi,khasiat dari obat ini
kandungan,kandungan apa yang menjadi penyusun obat ini
cara,Prosedur penggunaan obat
indikasi,Untuk apa obat ini
kandungan,apasih kandungan obat
cara,dosis obat yang tepat
cara,Sebaiknya digunakan seperti apa obat ini
kandungan,mau bertanya tentang kandungan obat
indikasi,keunggulan obat
fitur,seberapa banyak fitur aplikasi ini
fitur,panduan pengguna
efeksamping,apakah bahaya menggunakan obat ini
kandungan,komposisi obat ini apa?
fitur,Boleh kasih info fiturmu
kandungan,zat apa yang menjadi penyusun obat ini
cara,cara yang benar memakai obat
pergi,beneran boleh pergi?
kandungan,senyawa penyusun dari suatu obat
indikasi,mengapa lebih baik mengkonsumsi obat ini
indikasi,obat ini nyembuhin apa
kandungan,obat ini mengandung apa
pergi,sampai bertemu
indikasi,Apa saja manfaat dari obat ini
cara,cara yang benar menggunakan obat
efeksamping,Efek-efek seperti apa saja dari obat ini
cara,takaran obat yang tepat
efeksamping,Reaksi setelah minum obat ini
indikasi,daftar obat untuk penyakit
efeksamping,Pengaruh tubuh setelah meminum obat
indikasi,apa yang ditawarkan oleh obat ini
kandungan,bahan yang terdapat pada obat ini
kandungan,daftar zat yang ada di obat ini
indikasi,efek positif dari obat
kandungan,apa komposisi obat ini
efeksamping,Apakah ada efek samping lain lagi jika saya mengkonsumsi obat ini
cara,apakah kamu tahu tentang panduan untuk meminum obat
indikasi,apa yang menjadi fungsi dari obat ini
indikasi,manfaat dari minum obat ini
cara,langkah yang benar menggunakan obat
cara,adakah instruksi penggunaan obat
cara,adakah tata cara penggunaan obat
indikasi,obat ini punya manfaat apa
fitur,mengapa harus menggunakan obatin
indikasi,Digunakan untuk apa obat ini
efeksamping,Dampak mengonsumsi obat
efeksamping,Gejala setelah minum obat
pergi,terimakasih atas bantuannya
fitur,tunjukin dong apa yang bisa kamu lakuin
pergi,trims info
kandungan,apa kandungan obat ini
kandungan,kandungan senyawa yang ada dalam obat ini
indikasi,apa keunggulan yang ditawarkan dari obat ini
kandungan,apa aja zat yang terkandung di obat ini
efeksamping,adakah efek samping dari konsumsi obat
indikasi,apa penyakit yang dapat diatasi dengan mengonsumsi obat tertentu
efeksamping,Seandainya aku pakai obat ini efeknya apa
indikasi,obat ini dapat dimanfaatkan untuk
efeksamping,Pengaruh buruk yang akan terjadi dari obat ini
cara,Syarat penggunaan obat ini
efeksamping,Ada gejala apa saja setelah meminum obat
cara,anjuran memakai obat
fitur,Tujukan fiturmu
pergi,senang bertemu denganmu
pergi,cabut
kandungan,Bahan baku obat ini
efeksamping,akibat buruk dari pemakaian obat
cara,bagaimana aturan yang tepat untuk mengonsumsi obat ini
cara,aturan konsumsi obat tertentu
indikasi,penyakit apa aja yang cocok untuk obat ini
fitur,Feature kamu apa aja sih
kandungan,senyawa yang menjadi penyusun obat tertentu
indikasi,fungsi utama yang dimiliki obat tertentu
efeksamping,Reaksinya seperti apa
cara,pengunaan obat sesuai umur
cara,Anjuran menggunakan obat
kandungan,apa kandungan penting yang terdapat pada obat
efeksamping,Dampak buruk mengonsumsi obat ini
kandungan,terdiri dari apa saja obat ini
efeksamping,Dampak negatif mengonsumsi obat ini
fitur,fitur obatin
indikasi,Manfaat obat
efeksamping,apa kekurangan obat ini
indikasi,jenis penyakit yang dapat disembukan oleh obat
cara,Aturan pakai obat ini
kandungan,yang tekandung dalam obat
efeksamping,keluhan yang mungkin muncul setelah minum obat
efeksamping,apa efek samping dari obat ini
indikasi,Kegunaan obat
pergi,pergi dulu ya
efeksamping,alergi akibat pemakaian obat
indikasi,Apa efek baik yg bisa saya dapatkan setelah meminum obat ini?
kandungan,obat ini terbuat dari apa
kandungan,jenis senyawa apa yang terkandung dari obat ini
cara,bagaimana ketentuan untuk minum obat
pergi,sangat membantu terimakasih
kandungan,saya hendak bertanya terkait zat yang terkandung dalam suatu obat
cara,Aturan penggunaan obat ini
kandungan,daftar bahan yang ada di obat ini
fitur,Apa yang dapat obatin lakukan
indikasi,penggunaan obat ini untuk apa
indikasi,penyakit apa yang bisa disembukan oleh suatu obat
kandungan,Apa saja kandungan dalam obat ini?
cara,rincian penggunaan obat yang benar
fitur,obatin bisa ngapain aja
efeksamping,Apa saja dampak obat ini?
cara,ketentuan terkait obat
indikasi,obat ini mengatasi apa
fitur,Apa aja sih fiturmu
indikasi,Obat ini bermanfaat untuk apa
pergi,selamat tinggal
pergi,sampai berjumpa lagi
kandungan,Zat kimia obat ini
cara,langkah pengaplikasian obat
kandungan,Bahan bahan yang terkandung di obat ini
efeksamping,apakah saya akan sakit ketika meminum suatu obat
fitur,obatin bisa melakukan apa saja
fitur,obatin menyediakan fitur apa saja
efeksamping,apa efek samping obat
fitur,Bantuan seperti apa yang Anda berikan?
indikasi,dampak baik setelah minum obat
pergi,Tidak ada kata-kata yang bisa mengungkapkan rasa terima kasihku untukmu.
cara,apa petunjuk penggunaan obat ini
pergi,terima kasih obatin
cara,cara makan obat
fitur,obatin dibuat untuk apa
cara,dosis yang benar untuk obat
fitur,apa keunggulan obatin
pergi,semoga di beri ganti yang lebih baik
fitur,Kamu bisa apa
indikasi,penyakit apa yang disembuhkan
cara,Cara pakai obat ini
cara,panduan mengaplikasikan obat
pergi,akhirnya aku menemukan apa yang aku cari
fitur,bantuan apa yang dapat diberikan
